"time","P_elec","P_in","Q","Q_0","Q_max","SOC","V","V_max","V_min","der(Q)","i_in","i_out"
8.3,80,88.49876374630418,37.496985823035324,37.5,75,49.99598109738043,23.999839243895217,26,22,9.836598000993778e-5,3.6874731887554373,3.3333556607196613
8.4,80,89.10065241883677,37.49699489247656,37.5,75,49.99599318996874,23.99983972759875,26,22,1.0533232862906984e-4,3.712551976602368,3.3333555935377164
8.5,80,89.68727415326883,37.497004690032796,37.5,75,49.99600625337706,23.999840250135083,26,22,1.1212197493706129e-4,3.7369946307356785,3.333355520962258
8.6,80,90.25852843498605,37.4970152026096,37.5,75,49.99602027014613,23.999840810805846,26,22,1.1873375554464302e-4,3.760796963050999,3.333355443090284
8.7,80,90.81431738250811,37.49702641711251,37.5,75,49.99603522281667,23.999841408912665,26,22,1.2516653754141596e-4,3.78395489516789,3.3333553600187926
8.8,80,91.35454576426008,37.497038320447096,37.5,75,49.99605109392946,23.999842043757177,26,22,1.3141921868992768e-4,3.80646445912852,3.3333552718447805
8.9,80,91.87912101488982,37.49705089951891,37.5,75,49.996067866025214,23.99984271464101,26,22,1.3749072761449357e-4,3.8283217980774236,3.3333551786652467
9,80,92.38795325112868,37.49706414123351,37.5,75,49.99608552164468,23.999843420865787,26,22,1.4338002398473087e-4,3.8495231669222205,3.3333550805771894
9.1,80,92.8809552871924,37.49707803249646,37.5,75,49.996104043328614,23.999844161733144,26,22,1.4908609869376897e-4,3.870064932975174,3.333354977677606
9.2,80,93.35804264972018,37.497092560213304,37.5,75,49.99612341361774,23.999844936544708,26,22,1.5460797403111324e-4,3.889943576575502,3.3333548700634945
9.3,80,93.81913359224842,37.497107711289615,37.5,75,49.996143615052816,23.999845744602112,26,22,1.5994470385012253e-4,3.909155691692294,3.3333547578318528
9.4,80,94.26414910921783,37.497123472630925,37.5,75,49.99616463017457,23.99984658520698,26,22,1.6509537373008272e-4,3.9276979865079777,3.33335464107968
