"time","P_elec","P_in","Q","Q_0","Q_max","SOC","V","V_max","V_min","der(Q)","i_in","i_out"
6.048,40,71.15356772092854,37.49980224045912,37.5,75,49.99973632061216,23.999989452824487,26,22,3.6057385893353394e-4,2.9647332912704547,1.6666673991097325
6.144,40,72.03090248879069,37.499837028215424,37.5,75,49.999782704287234,23.999991308171488,26,22,3.7072817232744454e-4,3.0012886906448877,1.6666672702660874
6.24,40,72.89686274214114,37.49987293333888,37.5,75,49.99983057778517,23.999993223111407,26,22,3.807508336949384e-4,3.037370138585841,1.666667137284063
6.336,40,73.75131173581738,37.499909224099724,37.5,75,49.9998789654663,23.999995158618653,26,22,3.90640260929119e-4,3.072971942218601,1.6666670028737725
6.432,40,74.59411454241821,37.49994565352141,37.5,75,49.999927538028544,23.999997101521142,26,22,4.003948925966236e-4,3.10808848129779,1.666666867949945
6.528,40,75.42513807361037,37.49998301352024,37.5,75,49.99997735136033,23.999999094054413,26,22,4.100131876253364e-4,3.142714205030768,1.666666729579557
6.624,40,76.24425110114478,37.50002130409622,37.5,75,50.00002840546163,24.000001136218465,26,22,4.194936271441404e-4,3.1768436454815157,1.6666665877626103
6.72,40,77.05132427757891,37.50006052524935,37.5,75,50.000080700332475,24.0000032280133,26,22,4.2883471405273074e-4,3.2104714130889374,1.6666664424991067
6.816,40,77.84623015670233,37.50010067697963,37.5,75,50.00013423597284,24.000005369438913,26,22,4.380349732580442e-4,3.243592197518007,1.6666662937890477
6.912,40,78.62884321366188,37.50014175928705,37.5,75,50.000189012382734,24.00000756049531,26,22,4.470929519072093e-4,3.276200768498389,1.6666661416324355
7.008,40,79.39903986478353,37.50018377217162,37.5,75,50.00024502956215,24.000009801182486,26,22,4.5600721961698635e-4,3.308291976650423,1.666665986029272
7.104,40,80.15669848708765,37.50022671563334,37.5,75,50.000302287511126,24.000012091500444,26,22,4.6477636869965785e-4,3.339860754298327,1.666665826979559
7.2,40,80.90169943749474,37.5002705896722,37.5,75,50.00036078622959,24.000014431449184,26,22,4.7339901438533553e-4,3.370902116270506,1.6666656644832982
7.296,40,81.6339250717184,37.500315394288215,37.5,75,50.000420525717615,24.000016821028705,26,22,4.8187379504064596e-4,3.4014111606868176,1.666665498540492
7.392,40,82.35325976284274,37.50036112948138,37.5,75,50.000481505975166,24.000019260239007,26,22,4.901993723837647e-4,3.4313830697326955,1.6666653291511424
7.488,40,83.05958991958126,37.50040779525168,37.5,75,50.000543727002245,24.00002174908009,26,22,4.983744316957605e-4,3.460813110419989,1.6666651563152513
7.584,40,83.75280400421417,37.50045539159914,37.5,75,50.00060718879885,24.000024287551955,26,22,5.06397682028219e-4,3.4896966353344094,1.666664980032821
7.68,40,84.4327925502015,37.50050391852374,37.5,75,50.00067189136499,24.000026875654598,26,22,5.142678564071122e-4,3.518029083369458,1.666664800303854
7.776,40,85.09944817946918,37.50055337602549,37.5,75,50.00073783470066,24.000029513388025,26,22,5.219837120328816e-4,3.5458059804467257,1.666664617128352
7.872,40,85.75266561936522,37.50060368171603,37.5,75,50.00080490895471,24.000032196358188,26,22,5.29544030573655e-4,3.5730229408766165,1.6666644308114587
7.968,40,86.39234171928352,37.500653880946764,37.5,75,50.00087184126235,24.000034873650495,26,22,5.369476193069273e-4,3.59967567439384,1.6666642448889013
8.064,40,87.01837546695256,37.5007048136863,37.5,75,50.00093975158173,24.00003759006327,26,22,5.441933081529326e-4,3.6257599656002526,1.666664056249695
8.16,40,87.63066800438637,37.50075646865104,37.5,75,50.00100862486806,24.000040344994723,26,22,5.512799529559481e-4,3.651271695577045,1.6666638649356318
8.256,40,88.22912264349533,37.500808834557354,37.5,75,50.00107844607648,24.000043137843058,26,22,5.582064346775192e-4,3.676206835827575,1.6666636709885054
8.352,40,88.81364488135445,37.50086190012163,37.5,75,50.00114920016217,24.000045968006486,26,22,5.649716595731385e-4,3.700561448913407,1.6666634744501083
8.448,40,89.38414241512638,37.50091565406024,37.5,75,50.001220872080324,24.000048834883213,26,22,5.715745593649271e-4,3.724331689075971,1.666663275362233
8.544,40,89.9405251566371,37.5009700850896,37.5,75,50.001293446786136,24.000051737871445,26,22,5.780140914102962e-4,3.7475138028437387,1.6666630737666728
8.64,40,90.48270524660195,37.501025181926074,37.5,75,50.00136690923477,24.00005467636939,26,22,5.842892388665582e-4,3.77010412962483,1.6666628697052202
8.736,40,91.01059706849956,37.50108093328604,37.5,75,50.00144124438138,24.000057649775254,26,22,5.903990108514646e-4,3.792099102284941,1.6666626632196684
8.832,40,91.52411726209175,37.5011373278859,37.5,75,50.0015164371812,24.000060657487246,26,22,5.963424425996409e-4,3.8134952477105166,1.6666624543518096
8.928,40,92.02318473658703,37.50119435444202,37.5,75,50.001592472589365,24.000063698903574,26,22,6.021185956148995e-4,3.8342891873570752,1.6666622431434368
9.024,40,92.5077206834458,37.50125200167081,37.5,75,50.001669335561076,24.000066773422443,26,22,6.077265578184024e-4,3.8544776377825913,1.6666620296363428
9.12,40,92.97764858882513,37.501310258288626,37.5,75,50.0017470110515,24.00006988044206,26,22,6.131654436926504e-4,3.8740574111658614,1.6666618138723202
9.216,40,93.43289424566119,37.50136911301188,37.5,75,50.001825484015846,24.000073019360634,26,22,6.184343944212791e-4,3.8930254158097664,1.6666615958931614
9.312,40,93.87338576538741,37.50142855455694,37.5,75,50.001904739409255,24.00007618957637,26,22,6.23532578024638e-4,3.9113786566293562,1.6666613757406596
9.408,40,94.29905358928644,37.50148857164019,37.5,75,50.001984762186915,24.00007939048748,26,22,6.284591894911268e-4,3.9291142356246636,1.666661153456607
9.504,40,94.70983049947442,37.50154879357842,37.5,75,50.00206505810456,24.000082602324184,26,22,6.332134514100043e-4,3.9462293554899124,1.6666609304138966
9.6,40,95.10565162951535,37.50160933334199,37.5,75,50.00214577778932,24.000085831111573,26,22,6.377946129176071e-4,3.9627213126975094,1.6666607061941239
9.696,40,95.4864544746643,37.50167031693083,37.5,75,50.0022270892411,24.000089083569645,26,22,6.422019504624127e-4,3.9785875019953116,1.6666604803306262
9.792,40,95.85217890173759,37.501731727648924,37.5,75,50.00230897019856,24.000092358807944,26,22,6.464347681427897e-4,3.9938254181992843,1.6666602528852414
9.888,40,96.20276715860858,37.50179354880021,37.5,75,50.00239139840028,24.00009565593601,26,22,6.504923976175417e-4,4.008432655342959,1.6666600239198084
9.984,40,96.53816388332739,37.50185576368866,37.5,75,50.00247435158488,24.000098974063395,26,22,6.543741982113799e-4,4.022406907057132,1.6666597934961642
10.08,40,96.85831611286311,37.50191835561823,37.5,75,50.00255780749098,24.00010231229964,26,22,6.580795570160295e-4,4.035745966933853,1.666659561676147
10.176,40,97.16317329146739,37.50198130789287,37.5,75,50.002641743857154,24.000105669754287,26,22,6.616078889869487e-4,4.04844772887461,1.6666593285215947
10.272,40,97.4526872786577,37.50204460381656,37.5,75,50.00272613842207,24.00010904553688,26,22,6.649586370356485e-4,4.06051018742268,1.6666590940943453
10.368,40,97.72681235681935,37.50210822669324,37.5,75,50.002810968924315,24.00011243875697,26,22,6.681312721175963e-4,4.071931438079583,1.6666588584562358
10.464,40,97.98550523842468,37.50217215982687,37.5,75,50.00289621310249,24.0001158485241,26,22,6.711252933156909e-4,4.082709677605592,1.6666586216691042
10.56,40,98.22872507286885,37.502236386521425,37.5,75,50.002981848695235,24.00011927394781,26,22,6.739402279192963e-4,4.092843204304255,1.6666583837947881
10.656,40,98.45643345292054,37.50230089008086,37.5,75,50.00306785344115,24.000122714137646,26,22,6.765756314988184e-4,4.1023304182908715,1.666658144895125
10.752,40,98.6685944207868,37.502365653809115,37.5,75,50.003154205078815,24.000126168203153,26,22,6.79031087975818e-4,4.111169821744897,1.666657905031952
10.848,40,98.86517447379141,37.50243066101017,37.5,75,50.0032408813469,24.000129635253877,26,22,6.813062096886453e-4,4.11936001914623,1.666657664267107
10.944,40,99.04614256966512,37.50249589498797,37.5,75,50.00332785998396,24.000133114399357,26,22,6.834006374535854e-4,4.126899717495334,1.666657422662427
11.04,40,99.21147013144778,37.502561339046494,37.5,75,50.003415118728654,24.000136604749144,26,22,6.853140406215092e-4,4.133787726517182,1.6666571802797492
11.136,40,99.36113105200084,37.50262697648967,37.5,75,50.00350263531956,24.000140105412783,26,22,6.870461171300164e-4,4.140022958848969,1.6666569371809103
