"time","P_elec","P_in","Q","Q_0","Q_max","SOC","V_cte","der(Q)","i_in","i_out"
9.2,80,93.35804264972018,37.49709256807837,37.5,75,49.996123424104496,24,1.5460697511250195e-4,3.8899184437383405,3.3333333333333335
9.3,80,93.81913359224842,37.49710771906095,37.5,75,49.9961436254146,24,1.599436758362085e-4,3.909130566343684,3.3333333333333335
9.4,80,94.26414910921783,37.49712348030464,37.5,75,49.996164640406185,24,1.6509431839372479e-4,3.9276728795507427,3.3333333333333335
9.5,80,94.69301294951056,37.49713983871505,37.5,75,49.99618645162007,24,1.700580202489648e-4,3.945542206229607,3.3333333333333335
9.6,80,95.10565162951535,37.497156781197795,37.5,75,49.99620904159706,24,1.748339308971684e-4,3.9627354845631397,3.3333333333333335
9.7,80,95.50199444571865,37.497174294658485,37.5,75,49.996232392877985,24,1.7942123201063252e-4,3.9792497685716106,3.3333333333333335
9.8,80,95.8819734868193,37.497192366002736,37.5,75,49.996256488003645,24,1.8381913757892714e-4,3.995082228617471,3.3333333333333335
9.9,80,96.24552364536473,37.49721057923931,37.5,75,49.99628077231908,24,1.8802689404357327e-4,4.010230151890197,3.3333333333333335
10,80,96.59258262890683,37.49722906056593,37.5,75,49.99630541408791,24,1.920437804271623e-4,4.024690942871118,3.3333333333333335
10.1,80,96.92309097067545,37.497247950786864,37.5,75,49.99633060104915,24,1.9586910845689162e-4,4.038462123778143,3.3333333333333335
10.2,80,97.23699203976766,37.49726723074026,37.5,75,49.996356307653684,24,1.9950222268249606e-4,4.051541334990319,3.3333333333333335
10.3,80,97.53423205085127,37.49728688126423,37.5,75,49.996382508352305,24,2.0294250058855643e-4,4.063926335452137,3.3333333333333335
10.4,80,97.81476007338055,37.49730688319693,37.5,75,49.9964091775959,24,2.0618935270116378e-4,4.075615003057523,3.3333333333333335
10.5,80,98.07852804032305,37.497327217376466,37.5,75,49.99643628983529,24,2.0924222268892408e-4,4.08660533501346,3.3333333333333335
10.6,80,98.32549075639545,37.497347864641,37.5,75,49.99646381952134,24,2.1210058745828068e-4,4.096895448183144,3.3333333333333335
10.7,80,98.55560590580777,37.49736880582864,37.5,75,49.99649174110486,24,2.147639572431454e-4,4.106483579408657,3.3333333333333335
10.8,80,98.76883405951378,37.49739002177753,37.5,75,49.9965200290367,24,2.1723187568881684e-4,4.115368085813074,3.3333333333333335
10.9,80,98.96513868196702,37.49741149332581,37.5,75,49.99654865776774,24,2.195039199301738e-4,4.123547445081959,3.3333333333333335
11,80,99.14448613738104,37.49743320131159,37.5,75,49.99657760174878,24,2.2157970066413241e-4,4.13102025572421,3.3333333333333335
11.1,80,99.30684569549263,37.497455126573016,37.5,75,49.99660683543068,24,2.2345886221634989e-4,4.137785237312193,3.3333333333333335
11.2,80,99.45218953682733,37.49747724994823,37.5,75,49.99663633326431,24,2.2514108260216826e-4,4.143841230701139,3.3333333333333335
11.3,80,99.58049275746617,37.49749955227536,37.5,75,49.996666069700474,24,2.266260735817844e-4,4.149187198227757,3.3333333333333335
11.4,80,99.6917333733128,37.49752201439254,37.5,75,49.996696019190054,24,2.2791358070963885e-4,4.153822223888033,3.3333333333333335
11.5,80,99.78589232386035,37.49754461713789,37.5,75,49.996726156183854,24,2.2900338337801337e-4,4.157745513494182,3.3333333333333335
11.6,80,99.86295347545739,37.49756734134955,37.5,75,49.99675645513273,24,2.2989529485483077e-4,4.160956394810724,3.3333333333333335
11.7,80,99.92290362407229,37.49759016786567,37.5,75,49.996786890487556,24,2.3058916231565146e-4,4.163454317669679,3.3333333333333335
11.8,80,99.96573249755572,37.49761307316543,37.5,75,49.99681743088724,24,2.310848668698579e-4,4.165238854064822,3.3333333333333335
11.9,80,99.9914327574007,37.49763596381078,37.5,75,49.99684795174771,24,2.3138232358102653e-4,4.166309698225029,3.3333333333333335
12,80,100,37.497658886603475,37.5,75,49.9968785154713,24,2.3148148148148152e-4,4.166666666666667,3.3333333333333335
12.1,80,99.9914327574007,37.497681821735554,37.5,75,49.99690909564741,24,2.3138232358102653e-4,4.166309698225029,3.3333333333333335
12.2,80,99.96573249755572,37.49770474939903,37.5,75,49.99693966586537,24,2.310848668698579e-4,4.165238854064822,3.3333333333333335
12.3,80,99.92290362407229,37.49772764978588,37.5,75,49.99697019971451,24,2.3058916231565146e-4,4.163454317669679,3.3333333333333335
12.4,80,99.86295347545739,37.497750503088156,37.5,75,49.99700067078421,24,2.2989529485483077e-4,4.160956394810724,3.3333333333333335
12.5,80,99.78589232386035,37.49777328949786,37.5,75,49.99703105266381,24,2.2900338337801337e-4,4.157745513494182,3.3333333333333335
12.6,80,99.6917333733128,37.497795989207,37.5,75,49.99706131894266,24,2.2791358070963885e-4,4.153822223888033,3.3333333333333335
12.7,80,99.58049275746617,37.49781858240758,37.5,75,49.99709144321011,24,2.266260735817844e-4,4.149187198227757,3.3333333333333335
